CODMUNRES,ANO,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS
130050,2018,0,1,12,100
130050,2019,1,0,14,132
130060,2012,1,0,27,129
130060,2013,0,0,33,128
130060,2014,1,0,18,138
130060,2015,1,0,34,141
130060,2016,1,0,15,114
130060,2017,2,0,17,134
130060,2018,1,0,13,160
130060,2019,0,0,22,169
130063,2012,0,0,6,36
130063,2013,0,0,3,36
130063,2014,0,0,5,46
130063,2015,1,0,2,45
130063,2016,0,0,8,40
130063,2017,0,0,5,53
130063,2018,0,0,4,50
130063,2019,0,0,4,64
130068,2012,0,0,1,54
130068,2013,0,1,2,29
130068,2014,0,0,4,60
130068,2015,1,0,4,48
130068,2016,0,0,3,60
130068,2017,0,0,4,57
130068,2018,0,0,3,62
130068,2019,0,0,9,64
130070,2012,0,2,10,105
130070,2013,0,0,9,114
130070,2014,0,1,8,107
130070,2015,0,0,11,133
130070,2016,0,0,11,151
130070,2017,1,2,8,144
130070,2018,0,0,15,164
130070,2019,0,0,4,145
130080,2012,0,0,7,107
130080,2013,3,0,10,99
130080,2014,2,0,9,121
130080,2015,2,0,5,108
130080,2016,1,0,12,101
130080,2017,0,0,11,126
130080,2018,0,0,8,122
130080,2019,0,0,13,117
130083,2012,0,0,1,23
130083,2013,0,0,2,26
130083,2014,1,0,1,16
130083,2015,0,0,3,20
130083,2016,0,0,1,24
130083,2017,0,0,5,25
130083,2018,0,0,1,27
130083,2019,0,0,6,40
130090,2012,0,0,1,30
130090,2013,0,0,2,38
130090,2014,0,0,3,38
130090,2015,0,0,5,38
130090,2016,0,0,5,43
130090,2017,0,0,5,43
130090,2018,0,0,6,49
130090,2019,0,0,9,51
130100,2012,0,0,26,117
130100,2013,0,0,16,106
130100,2014,2,0,16,119
130100,2015,0,0,8,97
130100,2016,1,0,13,118
130100,2017,0,0,11,108
130100,2018,0,1,10,91
130100,2019,0,0,8,123
130110,2012,0,0,9,105
130110,2013,0,0,1,101
130110,2014,0,0,1,103
130110,2015,0,0,9,96
130110,2016,0,0,6,111
130110,2017,0,0,6,118
130110,2018,0,0,9,147
130110,2019,0,0,4,137
130115,2012,0,0,5,50
130115,2013,0,0,2,50
130115,2015,0,1,2,44
130115,2017,0,0,1,46
130115,2018,0,2,4,56
130115,2019,0,0,3,53
130120,2012,0,0,20,245
130120,2013,1,2,25,249
130120,2014,1,1,29,262
130120,2015,0,1,21,311
130120,2016,1,0,20,309
130120,2017,0,0,30,341
130120,2018,0,0,20,335
130120,2019,1,0,27,331
130130,2012,0,0,7,48
130130,2013,0,0,5,48
130130,2014,0,2,1,62
130130,2015,0,0,6,69
130130,2016,1,1,4,66
130130,2017,0,0,5,82
130130,2018,1,0,2,89
130130,2019,0,0,9,79
130140,2012,1,1,30,129
130140,2013,0,1,25,143
130140,2014,0,1,22,143
130140,2015,1,1,23,150
130140,2016,1,1,32,171
130140,2017,0,0,31,158
130140,2018,0,2,27,183
130140,2019,0,1,23,176
130150,2012,0,0,8,36
130150,2013,2,0,6,47
130150,2014,1,0,9,47
130150,2015,0,0,10,64
130150,2016,1,1,11,65
130150,2017,0,0,8,57
130150,2018,1,0,15,88
130150,2019,0,0,12,66
130160,2012,1,2,7,41
130160,2013,0,1,10,55
130160,2014,0,0,9,68
130160,2015,0,0,12,71
130160,2016,0,0,11,77
130160,2017,0,0,7,86
130160,2018,0,0,8,82
130160,2019,0,0,11,95
130165,2012,0,0,5,52
130165,2013,0,0,4,35
130165,2014,0,0,5,37
130165,2015,0,1,0,50
130165,2016,0,0,3,34
130165,2017,0,0,4,42
130165,2018,0,0,3,56
130165,2019,0,0,4,60
130170,2012,0,0,20,172
130170,2013,0,0,15,145
130170,2014,0,0,10,155
130170,2015,0,0,10,176
130170,2016,0,1,14,172
130170,2017,0,0,15,176
130170,2018,0,0,9,193
130170,2019,0,1,10,192
130180,2012,0,0,6,29
130180,2013,0,0,13,54
130180,2014,0,1,14,58
130180,2015,0,0,13,55
130180,2016,3,0,6,70
130180,2017,0,0,12,69
130180,2018,1,0,18,63
130180,2019,0,1,8,65
130185,2012,0,0,12,148
130185,2013,0,1,10,165
130185,2014,0,1,9,187
130185,2015,0,2,9,210
130185,2016,0,0,13,222
130185,2017,0,0,4,222
130185,2018,0,0,11,250
130185,2019,0,1,11,225
130190,2012,0,0,27,358
130190,2013,1,2,23,388
130190,2014,1,0,22,358
130190,2015,1,1,26,362
130190,2016,1,1,21,367
130190,2017,0,2,34,431
130190,2018,0,1,15,390
130190,2019,1,1,36,429
130195,2012,0,0,4,20
130195,2013,0,0,2,8
130195,2014,0,0,3,24
130195,2015,0,0,3,29
130195,2016,0,0,4,18
130195,2017,0,0,5,25
130195,2018,0,0,2,19
130195,2019,0,0,7,24
130200,2012,0,0,4,35
130200,2013,0,0,1,37
130200,2015,0,0,1,29
130200,2016,0,0,2,42
130200,2017,0,0,2,32
130200,2019,0,0,4,47
130210,2012,0,1,4,16
130210,2013,1,0,2,15
130210,2014,0,0,2,19
130210,2015,1,0,1,8
130210,2016,0,0,3,15
130210,2017,0,0,2,15
130210,2018,0,0,2,13
130210,2019,0,0,6,26
130220,2012,0,0,3,28
130220,2013,0,0,1,13
130220,2014,0,0,4,30
130220,2015,0,0,3,21
130220,2016,0,0,4,34
130220,2017,0,1,4,30
130220,2018,0,0,7,41
130220,2019,0,0,4,22
130230,2012,0,0,9,55
130230,2013,1,0,12,54
130230,2014,0,1,8,56
130230,2015,0,0,15,76
130230,2016,0,0,14,70
130230,2017,0,0,16,71
130230,2018,0,0,12,56
130230,2019,0,0,14,63
130240,2012,0,1,18,137
130240,2013,0,0,13,144
130240,2014,0,0,14,131
130240,2015,0,0,13,154
130240,2016,0,0,20,152
130240,2017,0,1,9,153
130240,2018,0,1,16,143
130240,2019,0,1,14,174
130250,2012,0,1,27,344
130250,2013,0,0,21,369
130250,2014,1,2,28,394
130250,2015,0,4,28,437
130250,2016,1,1,31,412
130250,2017,0,2,20,416
130250,2018,0,0,31,413
130250,2019,0,1,13,383
130255,2012,0,0,2,51
130255,2013,0,0,2,50
130255,2014,0,0,6,64
130255,2015,0,0,4,50
130255,2016,0,2,2,57
130255,2017,0,0,4,47
130255,2018,0,0,1,46
130255,2019,0,0,6,73
130260,2012,12,20,528,9315
130260,2013,11,21,606,9358
130260,2014,6,16,571,9848
130260,2015,9,15,534,10451
130260,2016,5,16,485,10430
130260,2017,3,12,544,10631
130260,2018,4,11,519,10837
130260,2019,6,15,503,11339
130270,2012,0,1,10,134
130270,2013,1,0,14,157
130270,2014,0,0,9,120
130270,2015,0,2,14,162
130270,2016,0,1,13,168
130270,2017,0,0,20,158
130270,2018,0,2,23,165
130270,2019,1,3,20,181
130280,2012,0,0,4,26
130280,2013,0,0,6,29
130280,2014,1,0,3,24
130280,2015,0,0,7,28
130280,2016,0,0,2,19
130280,2017,0,2,6,43
130280,2018,0,0,4,41
130280,2019,0,0,3,30
130290,2012,0,0,26,196
130290,2013,0,0,17,199
130290,2014,2,1,17,202
130290,2015,1,0,17,219
130290,2016,0,0,27,250
130290,2017,0,0,26,212
130290,2018,0,2,29,233
130290,2019,1,1,18,234
130300,2012,0,0,1,58
130300,2013,0,0,6,55
130300,2014,1,0,14,68
130300,2015,0,2,7,61
130300,2016,0,0,9,57
130300,2017,1,0,5,67
130300,2018,0,0,9,58
130300,2019,0,0,10,69
130310,2012,1,0,7,84
130310,2013,0,0,13,103
130310,2014,0,0,12,89
130310,2015,0,0,8,106
130310,2016,1,2,9,96
130310,2017,0,1,9,116
130310,2018,0,0,13,114
130310,2019,1,1,12,99
130320,2012,0,0,2,44
130320,2014,0,0,6,52
130320,2015,0,0,5,48
130320,2016,0,0,2,40
130320,2017,0,0,5,65
130320,2018,0,0,3,54
130320,2019,0,0,3,67
130330,2012,0,0,6,54
130330,2013,0,2,2,54
130330,2014,0,0,4,44
130330,2015,0,0,8,83
130330,2016,0,0,1,60
130330,2017,0,0,4,70
130330,2018,0,0,8,85
130330,2019,1,0,13,83
130340,2012,0,1,32,376
130340,2013,1,2,42,408
130340,2014,2,0,36,423
130340,2015,1,1,38,447
130340,2016,2,3,36,433
130340,2017,3,5,41,423
130340,2018,0,4,46,451
130340,2019,0,0,45,459
130350,2012,0,0,10,36
130350,2013,0,0,7,37
130350,2014,0,0,5,42
130350,2015,1,1,6,40
130350,2016,0,1,5,44
130350,2017,0,1,7,48
130350,2018,0,0,4,50
130350,2019,0,0,11,57
130353,2012,0,0,5,74
130353,2013,0,0,8,80
130353,2014,0,1,12,100
130353,2015,0,0,6,98
130353,2016,0,0,7,125
