CODMUNRES,ANO,AVG_PM25,MIN_PM25,MAX_PM25,BAIXO_PESO,TOTAL,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS,IDH
110032,2017,16.887320069242538,0.0,204.5,20,366,0,0,6,83,0.646
110032,2018,20.54945056107673,0.0,444.1000061035156,26,384,0,0,4,84,0.646
110032,2019,16.599589060165293,0.0,213.10000610351562,12,345,0,1,7,118,0.646
110033,2012,16.39493498413184,0.0,238.89999389648438,23,377,0,0,5,105,0.587
110033,2013,13.51939684544282,0.0,250.8000030517578,16,408,0,0,8,116,0.587
110033,2014,14.236369864770198,0.10000000149011612,153.10000610351562,23,418,1,0,3,104,0.587
110033,2015,23.30472597331829,0.0,454.29998779296875,24,403,0,0,4,107,0.587
110033,2016,21.767830221345783,0.0,552.0999755859375,18,404,0,1,4,110,0.587
110033,2017,23.96961594300424,0.0,426.8999938964844,25,477,0,0,9,123,0.587
110033,2018,24.728532245579405,0.0,1143.9000244140625,29,474,0,0,9,99,0.587
110033,2019,18.706849379939577,0.0,339.20001220703125,23,422,0,0,4,118,0.587
110034,2012,11.636114922526678,0.0,84.5,9,185,,,,,0.643
110034,2013,9.904398628961793,0.0,51.5,19,217,0,0,2,81,0.643
110034,2014,12.657739717130587,0.0,89.0,8,177,0,0,1,55,0.643
110034,2015,16.790672160388674,0.0,208.5,12,200,0,0,4,84,0.643
110034,2016,14.77364449074662,0.0,231.89999389648438,8,166,,,,,0.643
110034,2017,16.490410953433546,0.0,230.0,17,178,0,0,3,81,0.643
110034,2018,17.4554333098161,0.0,346.0,6,156,,,,,0.643
110034,2019,17.08054795111083,0.0,95.4000015258789,14,202,0,0,1,77,0.643
110037,2012,11.957455520162668,0.0,94.5999984741211,6,186,0,0,2,54,0.592
110037,2013,10.062258951519885,0.0,70.5999984741211,8,159,0,0,2,43,0.592
110037,2014,12.4912954058659,0.0,82.5,5,168,0,0,5,45,0.592
110037,2015,16.459602198600564,0.0,141.60000610351562,6,148,0,0,1,53,0.592
110037,2016,14.7041982281889,0.0,236.60000610351562,9,164,,,,,0.592
110037,2017,15.831369866650194,0.0,188.10000610351562,10,168,0,1,1,54,0.592
110037,2018,15.699862417545903,0.0,244.1999969482422,6,156,,,,,0.592
110037,2019,14.200686795002484,0.0,149.8000030517578,10,152,0,0,1,52,0.592
110040,2012,22.33848254578169,0.0,477.0,14,191,0,0,2,58,0.625
110040,2013,14.705010282994339,0.0,322.29998779296875,15,203,0,0,1,57,0.625
110040,2014,23.385000018305973,0.0,516.7000122070312,14,246,0,0,6,83,0.625
110040,2015,40.27938372513203,0.0,1264.9000244140625,8,245,0,0,5,78,0.625
110040,2016,30.99514031242439,0.0,1325.0,8,220,0,0,6,70,0.625
110040,2017,42.100273952765825,0.0,1489.300048828125,12,236,1,0,4,71,0.625
110040,2018,45.305219916933844,0.0,3488.10009765625,12,214,0,0,7,75,0.625
110040,2019,27.676849363938178,0.0,335.79998779296875,12,224,0,0,1,75,0.625
110045,2012,25.755745567253978,0.0,814.9000244140625,32,548,0,0,3,134,0.616
110045,2013,17.58846156347727,0.0,1520.5,28,587,0,1,5,133,0.616
110045,2014,28.359520664448812,0.0,1229.9000244140625,32,603,0,0,12,127,0.616
110045,2015,52.63376696783896,0.0,1730.800048828125,32,599,1,0,8,139,0.616
110045,2016,41.17315084325941,0.0,2105.5,30,615,0,0,6,168,0.616
110045,2017,47.75726026491045,0.0,2932.199951171875,48,623,0,0,13,163,0.616
110045,2018,35.371566001724986,0.0,1704.0,41,606,1,1,6,130,0.616
110045,2019,24.5550067514917,0.0,476.29998779296875,30,562,0,0,3,147,0.616
110050,2012,12.038440491341655,0.0,116.19999694824219,8,125,,,,,0.634
110050,2013,9.96558845724144,0.0,49.20000076293945,6,118,0,0,2,42,0.634
110050,2014,12.898217947582948,0.0,127.4000015258789,7,91,0,0,3,37,0.634
110050,2015,16.541015100101998,0.0,134.8000030517578,5,108,,,,,0.634
110050,2016,14.854739013245677,0.0,380.20001220703125,4,93,,,,,0.634
110050,2017,15.987739715265901,0.0,214.0,3,85,,,,,0.634
110050,2018,15.876478681415115,0.0,143.6999969482422,6,111,,,,,0.634
110050,2019,15.769999984070047,0.0,124.19999694824219,6,98,,,,,0.634
110060,2012,16.179084080303888,0.0,275.3999938964844,5,61,0,1,0,22,0.646
110060,2013,10.854676777750582,0.0,209.10000610351562,1,59,0,0,1,31,0.646
110060,2014,14.93760274810946,0.0,232.6999969482422,5,56,0,0,1,24,0.646
110060,2015,21.02130141933385,0.0,333.20001220703125,4,71,,,,,0.646
110060,2016,16.556790104516576,0.0,171.6999969482422,2,65,,,,,0.646
110060,2017,19.36904110868704,0.0,350.6000061035156,4,69,,,,,0.646
110060,2018,22.59931317254246,0.0,928.7999877929688,7,80,,,,,0.646
110060,2019,18.322633734404715,0.0,139.1999969482422,3,71,,,,,0.646
110070,2012,18.129295004410626,0.0,385.0,5,160,0,0,4,47,0.593
110070,2013,13.097802216442977,0.0,662.5,8,181,0,0,1,34,0.593
110070,2014,18.916027406975626,0.0,550.2000122070312,11,177,0,0,2,45,0.593
110070,2015,32.346027361127,0.0,740.5999755859375,6,155,0,0,2,43,0.593
110070,2016,26.6036351971502,0.0,1068.4000244140625,12,162,0,0,1,40,0.593
110070,2017,30.365958757581165,0.0,1422.5,12,167,0,0,1,41,0.593
110070,2018,18.079945063034256,0.0,443.29998779296875,11,188,,,,,0.593
110070,2019,17.049931422172342,0.0,255.8000030517578,6,160,0,0,2,43,0.593
110080,2012,25.02920659969366,0.0,496.5,35,423,0,0,9,113,0.649
110080,2013,14.044642868579704,0.0,211.10000610351562,26,394,0,0,9,129,0.649
110080,2014,24.0474657694975,0.0,1180.9000244140625,15,293,0,0,10,121,0.649
110080,2015,40.0225342192164,0.0,1499.4000244140625,27,317,0,0,8,111,0.649
110080,2016,28.877328719525305,0.0,947.2999877929688,20,368,0,0,6,108,0.649
110080,2017,32.79404108485539,0.0,689.5999755859375,22,389,0,0,3,131,0.649
110080,2018,35.59821411303071,0.0,811.5999755859375,25,412,0,0,5,122,0.649
110080,2019,23.95000001956543,0.10000000149011612,416.1000061035156,13,327,0,0,8,128,0.649
110090,2012,12.013748288057775,0.0,116.5,2,51,0,0,1,17,0.658
110090,2013,9.991546386808055,0.0,48.79999923706055,3,36,0,1,1,14,0.658
110090,2014,12.983630129235657,0.0,124.69999694824219,1,44,0,0,1,16,0.658
110090,2015,16.61899863277525,0.0,124.30000305175781,2,52,0,0,1,17,0.658
110090,2016,14.608922421937335,0.0,357.29998779296875,2,51,0,0,3,20,0.658
110090,2017,16.391164417993533,0.0,229.8000030517578,3,38,,,,,0.658
110090,2018,16.848005525480847,0.0,220.0,3,55,,,,,0.658
110090,2019,17.193561649822616,0.0,111.4000015258789,2,32,,,,,0.658
110092,2012,15.755471942051939,0.0,552.2000122070312,8,107,0,0,3,24,0.652
110092,2013,13.201649470079396,0.0,274.1000061035156,9,154,0,0,2,31,0.652
110092,2014,16.51164385777426,0.0,450.6000061035156,6,156,0,0,1,25,0.652
110092,2015,21.05356652324889,0.0,373.1000061035156,10,154,0,0,5,42,0.652
110092,2016,18.46386036929572,0.0,278.79998779296875,9,151,0,0,2,39,0.652
110092,2017,18.674452072269705,0.0,296.5,7,164,0,1,1,32,0.652
110092,2018,16.686519946836377,0.0,550.5999755859375,7,178,0,0,1,32,0.652
110092,2019,16.748767108459994,0.0,239.10000610351562,6,162,0,0,1,41,0.652
110094,2012,32.06258552005736,0.0,937.4000244140625,6,150,0,0,4,54,0.612
110094,2013,13.954945026789433,0.0,325.8999938964844,10,195,0,0,5,47,0.612
110094,2014,25.760684999808262,0.0,754.9000244140625,19,231,0,0,4,47,0.612
110094,2015,41.874434498471295,0.0,1796.4000244140625,14,270,0,0,4,50,0.612
110094,2016,30.69596166720564,0.0,2402.0,20,235,0,0,2,49,0.612
110094,2017,35.69273975234326,0.0,1426.0999755859375,12,205,0,0,2,55,0.612
110094,2018,35.4570054807342,0.0,1636.5,13,228,0,0,3,44,0.612
110094,2019,24.883287644978257,0.0,353.8999938964844,4,200,,,,,0.612
110100,2012,14.082352932425351,0.0,166.1999969482422,5,131,0,0,4,32,0.596
110100,2013,10.310330574182645,0.0,136.6999969482422,9,112,0,1,2,41,0.596
110100,2014,13.201917811059584,0.0,163.10000610351562,9,119,0,0,2,51,0.596
110100,2015,18.58449933241506,0.0,207.8000030517578,4,128,0,0,1,35,0.596
110100,2016,15.095950566150385,0.0,200.6999969482422,7,112,0,0,1,42,0.596
110100,2017,17.36212332574778,0.0,258.70001220703125,6,107,0,0,1,37,0.596
110100,2018,17.178159303257015,0.0,364.79998779296875,5,130,0,0,3,56,0.596
110100,2019,17.286575338836403,0.0,140.89999389648438,5,111,0,0,2,58,0.596
110110,2012,22.730848167641994,0.0,456.79998779296875,2,114,0,0,1,36,0.614
110110,2013,14.424571044144765,0.0,257.3999938964844,12,123,,,,,0.614
110110,2014,23.703698607809738,0.0,503.0,8,97,0,0,2,42,0.614
