populacao,municipio
51364,2704708
13337,2704807
3534,2704906
25226,2705002
24649,2705101
17676,2705200
5337,2705309
7153,2705408
28137,2705507
12615,2705606
21437,2705705
9303,2705804
5117,2705903
11591,2706000
11456,2706109
4985,2706208
73096,2706307
24446,2706406
10527,2706422
13016,2706448
15232,2706505
7568,2706604
63516,2706703
17805,2706802
35008,2706901
2911,2707008
24891,2707107
14354,2707206
27079,2707305
7873,2707404
20018,2707503
11342,2707602
74838,2707701
6680,2707800
7272,2707909
47486,2708006
10755,2708105
6953,2708204
23855,2708303
32111,2708402
34415,2708501
60775,2708600
7888,2708709
34011,2708808
13716,2708907
13818,2708956
6187,2709004
19886,2709103
43960,2709152
27632,2709202
65461,2709301
25773,2709400
2368,2800100
21443,2800209
648939,2800308
10168,2800407
18396,2800506
29873,2800605
26731,2800670
8264,2800704
17997,2801009
4011,2801108
29430,2801207
33904,2801306
21724,2801405
16324,2801504
5880,2801603
18190,2801702
3977,2801900
5059,2802007
68804,2802106
5567,2802205
15283,2802304
11606,2802403
3307,2802502
5811,2802601
8519,2802700
17761,2802809
94696,2802908
41684,2803005
4921,2803104
33994,2803203
18576,2803302
13085,2803401
103576,2803500
29567,2803609
6877,2803708
3665,2803807
12581,2803906
17153,2804003
11322,2804102
15120,2804201
7610,2804300
18735,2804409
8783,2804458
36514,2804508
26460,2804607
6470,2804706
181503,2804805
14347,2804904
3236,2805000
9538,2805109
6523,2805208
9199,2805307
34412,2805406
23586,2805505
28497,2805604
29559,2805703
19800,2805802
10140,2805901
18528,2806008
10697,2806107
19970,2806206
13947,2806305
7714,2806404
3904,2806503
12051,2806602
89027,2806701
11065,2806800
3987,2806909
3913,2807006
40486,2807105
8813,2807204
3204,2807303
51843,2807402
13061,2807501
25033,2807600
8767,2900108
19814,2900207
15129,2900306
16784,2900355
16901,2900405
10662,2900504
4478,2900603
150832,2900702
22449,2900801
5566,2900900
37031 ,2901007
25224,2901106
16097,2901155
18194,2901205
13153,2901304
14690,2901353
14017,2901403
11142,2901502
19093,2901601
11691,2901700
11715,2901809
17673,2901908
7360,2901957
13229,2902005
12143,2902054
54099,2902104
11332,2902203
11079,2902252
8813,2902302
11774,2902401
13824,2902500
20488,2902609
13217,2902658
53231,2902708
20813,2902807
32018,2902906
13900,2903003
5821,2903102
153831,2903201
14802,2903235
15846,2903276
5743,2903300
23214,2903409
17317,2903508
15975,2903607
12953,2903706
18622,2903805
68609,2903904
9942,2903953
14288,2904001
16637,2904050
21520,2904100
10300,2904209
14370,2904308
10493,2904407
10341,2904506
67048,2904605
