CODMUNRES,ANO,BAIXO_PESO,TOTAL
140017,2016,27,313
140017,2017,17,348
140017,2018,31,326
140017,2019,27,383
140020,2012,37,419
140020,2013,23,422
140020,2014,13,385
140020,2015,33,411
140020,2016,26,377
140020,2017,36,405
140020,2018,39,396
140020,2019,29,439
140023,2012,8,138
140023,2013,8,149
140023,2014,11,150
140023,2015,9,137
140023,2016,7,141
140023,2017,4,179
140023,2018,10,178
140023,2019,12,202
140028,2012,17,168
140028,2013,14,144
140028,2014,19,154
140028,2015,18,167
140028,2016,16,134
140028,2017,14,150
140028,2018,17,129
140028,2019,18,183
140030,2012,19,268
140030,2013,20,347
140030,2014,25,293
140030,2015,26,341
140030,2016,26,302
140030,2017,28,305
140030,2018,26,323
140030,2019,28,371
140040,2012,22,315
140040,2013,14,372
140040,2014,19,375
140040,2015,22,438
140040,2016,26,415
140040,2017,32,411
140040,2018,32,459
140040,2019,27,487
140045,2012,23,322
140045,2013,23,350
140045,2014,9,334
140045,2015,25,359
140045,2016,25,349
140045,2017,21,375
140045,2018,25,419
140045,2019,41,532
140047,2012,28,414
140047,2013,22,411
140047,2014,31,437
140047,2015,37,521
140047,2016,45,538
140047,2017,28,561
140047,2018,38,620
140047,2019,39,565
140050,2012,10,112
140050,2013,4,114
140050,2014,7,113
140050,2015,5,115
140050,2016,6,100
140050,2017,6,118
140050,2018,10,117
140050,2019,9,129
140060,2012,5,82
140060,2013,4,80
140060,2014,5,67
140060,2015,3,89
140060,2016,9,82
140060,2017,7,106
140060,2018,4,84
140060,2019,9,103
140070,2012,23,430
140070,2013,35,453
140070,2014,31,464
140070,2015,42,506
140070,2016,39,505
140070,2017,33,440
140070,2018,28,501
140070,2019,46,605
150000,2012,0,2
150000,2013,2,6
150000,2014,1,2
150000,2015,1,2
150000,2016,0,2
150000,2017,0,2
150000,2018,0,1
150000,2019,0,3
150010,2012,188,2487
150010,2013,174,2499
150010,2014,165,2672
150010,2015,200,2610
150010,2016,191,2498
150010,2017,190,2680
150010,2018,180,2639
150010,2019,186,2598
150013,2012,7,113
150013,2013,6,129
150013,2014,8,100
150013,2015,4,137
150013,2016,4,115
150013,2017,14,139
150013,2018,4,130
150013,2019,7,128
150020,2012,72,952
150020,2013,74,1022
150020,2014,55,1091
150020,2015,75,918
150020,2016,62,973
150020,2017,78,964
150020,2018,67,995
150020,2019,69,963
150030,2012,59,785
150030,2013,63,773
150030,2014,60,797
150030,2015,67,860
150030,2016,69,897
150030,2017,61,961
150030,2018,74,994
150030,2019,84,1010
150034,2012,12,162
150034,2013,9,187
150034,2014,12,177
150034,2015,9,193
150034,2016,13,157
150034,2017,12,204
150034,2018,15,221
150034,2019,13,217
150040,2012,59,1125
150040,2013,61,1109
150040,2014,79,1118
150040,2015,64,1103
150040,2016,46,1018
150040,2017,59,1119
150040,2018,56,1173
150040,2019,70,1161
150050,2012,33,667
150050,2013,49,731
150050,2014,40,793
150050,2015,56,779
150050,2016,44,727
150050,2017,56,724
150050,2018,58,771
150050,2019,55,766
150060,2012,126,2064
150060,2013,166,2489
150060,2014,162,2830
150060,2015,190,2947
150060,2016,188,2799
150060,2017,149,2459
150060,2018,189,2537
150060,2019,133,2329
150070,2012,32,740
150070,2013,43,704
150070,2014,30,718
150070,2015,31,727
150070,2016,48,800
150070,2017,31,848
150070,2018,36,859
150070,2019,37,821
150080,2012,682,8081
150080,2013,669,7919
150080,2014,624,8162
150080,2015,642,8246
150080,2016,558,7884
150080,2017,590,7799
150080,2018,603,7617
150080,2019,524,7285
150085,2012,30,527
150085,2013,36,527
150085,2014,30,528
150085,2015,37,574
150085,2016,37,566
150085,2017,37,618
150085,2018,42,647
150085,2019,39,646
150090,2012,53,952
150090,2013,69,1042
150090,2014,86,979
150090,2015,65,943
150090,2016,53,945
150090,2017,60,924
150090,2018,66,893
150090,2019,54,794
150095,2012,19,365
150095,2013,26,402
150095,2014,25,466
150095,2015,29,435
150095,2016,21,389
150095,2017,18,395
150095,2018,22,365
150095,2019,23,421
150100,2012,7,200
150100,2013,12,212
150100,2014,5,192
150100,2015,9,196
150100,2016,9,202
150100,2017,9,158
150100,2018,6,179
150100,2019,7,146
150110,2012,36,457
150110,2013,36,452
150110,2014,34,538
150110,2015,26,542
150110,2016,37,547
150110,2017,46,548
150110,2018,35,578
150110,2019,42,543
150120,2012,33,519
150120,2013,35,521
150120,2014,33,575
150120,2015,31,567
150120,2016,27,555
150120,2017,32,617
150120,2018,22,570
150120,2019,24,484
